"zip","schools","numSeats","totPop","kidsUnder3","perCapitaIncome","incomeQuantile","incomeBin","seatsPer100Kids","seatsPerCapita","seatsQuantile","seatsBin"
11207,28,1777,89676,4388,15880,0.111111111111111,17896,40.4968094804011,0.0198157812569695,0.654970760233918,34.642
11208,25,1494,93447,4758,15058,0.087719298245614,17896,31.3997477931904,0.0159876721564095,0.421052631578947,34.642
11209,9,613,71704,2621,35671,0.742690058479532,63233,23.3880198397558,0.0085490349213433,0.233918128654971,18.066
11210,15,821,64508,2718,25095,0.456140350877193,26441,30.206033848418,0.0127271036150555,0.385964912280702,34.642
11211,18,1141,90522,5569,23376,0.368421052631579,26441,20.4884180283713,0.0126046706877886,0.198830409356725,18.066
11212,24,1645,80311,3763,15006,0.0760233918128655,17896,43.7151209141642,0.0204828728318661,0.730994152046784,55.156
11213,17,1175,62231,2626,17768,0.140350877192982,17896,44.7448591012947,0.0188812649644068,0.766081871345029,55.156
11214,10,514,78326,2609,21583,0.263157894736842,17896,19.7010348792641,0.00656231647218037,0.181286549707602,18.066
11215,15,748,65477,2687,55260,0.853801169590643,63233,27.8377372534425,0.0114238587595644,0.327485380116959,18.066
11216,14,803,53065,1803,23890,0.415204678362573,26441,44.5368829728231,0.0151323848110807,0.760233918128655,55.156
11217,7,467,38992,1372,49367,0.842105263157895,63233,34.0379008746356,0.0119768157570784,0.491228070175439,34.642
11218,18,879,76811,3933,22862,0.339181286549708,26441,22.3493516399695,0.0114436734321907,0.216374269005848,18.066
11219,13,698,94083,7304,14999,0.0701754385964912,17896,9.55640744797371,0.00741898111242201,0.0584795321637427,18.066
11220,19,1048,99540,4463,16723,0.12280701754386,17896,23.4819628052879,0.0105284307815953,0.239766081871345,18.066
11221,34,2091,77041,2989,17845,0.146198830409357,17896,69.9565071930411,0.0271413922456874,0.95906432748538,55.156
11222,6,401,33482,742,36752,0.754385964912281,63233,54.0431266846361,0.0119765844334269,0.871345029239766,55.156
11223,14,905,73208,2837,21935,0.286549707602339,17896,31.8998942544942,0.012362036935854,0.444444444444444,34.642
11224,13,698,45092,1113,19603,0.216374269005848,17896,62.7133872416891,0.0154794642065111,0.929824561403509,55.156
11225,13,903,58987,2128,21713,0.280701754385965,17896,42.4342105263158,0.0153084577957855,0.701754385964912,55.156
11226,18,932,99422,3987,19321,0.198830409356725,17896,23.3759719087033,0.00937418277644787,0.228070175438596,18.066
11228,5,268,42585,1121,28759,0.590643274853801,26441,23.907225691347,0.00629329576141834,0.251461988304094,18.066
11229,17,1071,77021,2900,25864,0.485380116959064,26441,36.9310344827586,0.0139052985549396,0.555555555555556,34.642
11230,18,1040,85757,4008,22155,0.304093567251462,17896,25.9481037924152,0.0121272899005329,0.274853801169591,18.066
11231,9,569,35109,1247,44807,0.830409356725146,63233,45.6295108259824,0.0162066706542482,0.783625730994152,55.156
11232,7,373,27925,1041,17930,0.152046783625731,17896,35.8309317963497,0.0133572068039391,0.526315789473684,34.642
11233,22,1287,66315,3305,19204,0.187134502923977,17896,38.9409984871407,0.0194073738973083,0.614035087719298,34.642
11234,12,696,94891,3410,28836,0.596491228070175,26441,20.4105571847507,0.00733473142869187,0.192982456140351,18.066
11235,15,743,71129,1814,27825,0.578947368421053,26441,40.9592061742007,0.0104458097259908,0.666666666666667,34.642
11236,17,1146,94643,3418,24619,0.43859649122807,26441,33.5283791691047,0.0121086609680589,0.473684210526316,34.642
11237,8,488,52123,2539,15273,0.0994152046783626,17896,19.2201654194565,0.0093624695431959,0.157894736842105,18.066
11238,9,640,50840,1769,37230,0.760233918128655,63233,36.1786319954777,0.012588512981904,0.532163742690059,34.642
11239,5,387,12802,529,17607,0.128654970760234,17896,73.1568998109641,0.0302296516169349,0.976608187134503,55.156
11354,18,1081,53050,1095,24125,0.432748538011696,26441,98.7214611872146,0.0203770028275212,0.994152046783626,55.156
11355,13,869,82505,2151,21582,0.257309941520468,17896,40.3998140399814,0.0105326949881825,0.64327485380117,34.642
11356,4,198,21721,744,27604,0.567251461988304,26441,26.6129032258064,0.00911560241241195,0.286549707602339,18.066
11357,8,516,40516,1826,35097,0.736842105263158,63233,28.2584884994524,0.0127357093493928,0.339181286549708,34.642
11358,9,560,38668,1249,30501,0.649122807017544,26441,44.835868694956,0.0144822592324403,0.771929824561403,55.156
11360,3,201,20953,731,43074,0.801169590643275,63233,27.4965800273598,0.00959289839163843,0.315789473684211,18.066
11361,7,357,28926,843,32631,0.695906432748538,63233,42.3487544483986,0.012341837792989,0.690058479532164,55.156
11362,5,347,17492,500,38264,0.783625730994152,63233,69.4,0.0198376400640293,0.953216374269006,55.156
11363,3,152,7052,128,48772,0.83625730994152,63233,118.75,0.0215541690300624,1,55.156
11364,7,502,35372,1208,32652,0.701754385964912,63233,41.5562913907285,0.0141920162840665,0.684210526315789,55.156
11365,11,580,41283,1678,27528,0.555555555555556,26441,34.564958283671,0.0140493665673522,0.502923976608187,34.642
11366,5,248,14160,372,31483,0.660818713450292,26441,66.6666666666667,0.0175141242937853,0.947368421052632,55.156
11367,10,669,38835,2186,26066,0.491228070175439,26441,30.6038426349497,0.0172267284665894,0.39766081871345,34.642
11368,17,1130,103401,5537,16080,0.116959064327485,17896,20.4081632653061,0.010928327579037,0.187134502923977,18.066
11369,11,701,39677,1756,19956,0.233918128654971,17896,39.9202733485194,0.0176676664062303,0.631578947368421,34.642
11372,14,708,63520,2256,24044,0.426900584795322,26441,31.3829787234043,0.0111460957178841,0.415204678362573,34.642
11373,14,901,96474,3293,20379,0.239766081871345,17896,27.3610689341026,0.00933930385388809,0.309941520467836,18.066
11374,7,494,42888,1411,34068,0.719298245614035,63233,35.0106307583274,0.0115183734377915,0.514619883040936,34.642
11375,14,780,69266,2090,44061,0.824561403508772,63233,37.3205741626794,0.0112609361014062,0.578947368421053,34.642
11377,16,1049,87143,2758,23734,0.403508771929825,26441,38.0348078317621,0.0120376851841226,0.590643274853801,34.642
11378,3,164,33672,1448,26598,0.514619883040936,26441,11.3259668508287,0.00487051556189119,0.0818713450292398,18.066
11379,10,501,34529,790,31627,0.672514619883041,63233,63.4177215189873,0.014509542703235,0.935672514619883,55.156
11385,16,975,99295,4019,22932,0.345029239766082,26441,24.2597661109729,0.0098192255400574,0.257309941520468,18.066
11411,4,232,20426,616,30765,0.654970760233918,26441,37.6623376623377,0.0113580730441594,0.584795321637427,34.642
11412,9,633,36932,1284,25527,0.473684210526316,26441,49.2990654205608,0.017139607928084,0.83625730994152,55.156
