ZIP,Dependents,AGI,NumReturns,AvgAGI
11220,"38,080","1,360,015","51,970"," 26,169 "
11221,"24,620","1,166,455","36,490"," 31,966 "
11222,"5,820","1,261,777","22,060"," 57,198 "
11223,"23,060","1,971,512","31,240"," 63,109 "
11224,"11,740","717,045","19,420"," 36,923 "
11225,"17,790","1,228,231","29,940"," 41,023 "
11226,"34,030","1,722,653","50,400"," 34,180 "
11228,"11,970","1,081,095","18,670"," 57,905 "
11229,"22,880","1,922,566","34,960"," 54,993 "
11230,"29,890","2,177,511","33,900"," 64,233 "
11231,"8,460","1,875,833","16,950"," 110,669 "
11232,"8,570","435,664","12,600"," 34,577 "
11233,"22,500","1,017,712","29,660"," 34,313 "
11234,"27,590","2,423,833","41,180"," 58,859 "
11235,"19,510","1,925,904","36,820"," 52,306 "
11236,"33,080","1,837,123","46,150"," 39,808 "
11237,"14,050","685,009","22,710"," 30,163 "
11238,"11,150","2,064,377","29,270"," 70,529 "
11239,"4,680","248,163","6,790"," 36,548 "
11354,"12,680","1,008,807","28,390"," 35,534 "
11355,"23,720","1,287,291","47,600"," 27,044 "
11356,"7,850","509,161","11,830"," 43,040 "
11357,"10,200","1,469,576","19,350"," 75,947 "
11358,"10,020","1,006,877","18,250"," 55,171 "
11360,"4,160","836,069","9,940"," 84,112 "
11361,"7,600","847,874","13,570"," 62,482 "
11362,"4,570","638,785","8,570"," 74,537 "
11363,"1,840","370,854","3,370"," 110,046 "
11364,"10,090","1,116,336","17,610"," 63,392 "
11365,"12,900","1,094,640","20,170"," 54,271 "
11366,"4,200","419,895","6,590"," 63,717 "
11367,"13,340","995,934","18,240"," 54,602 "
11368,"39,640","1,252,689","46,510"," 26,934 "
11369,"13,090","586,927","17,340"," 33,848 "
11370,"8,690","535,522","13,000"," 41,194 "
11372,"21,240","1,379,743","34,560"," 39,923 "
11373,"31,830","1,540,367","49,090"," 31,378 "
11374,"11,130","1,234,938","22,240"," 55,528 "
11375,"15,760","2,958,154","35,280"," 83,848 "
11377,"26,150","1,672,212","44,400"," 37,662 "
11378,"10,580","850,047","17,100"," 49,710 "
11379,"9,340","1,072,037","17,330"," 61,860 "
11385,"31,360","1,929,001","47,450"," 40,653 "
11411,"6,020","506,100","10,590"," 47,790 "
11412,"12,220","741,383","18,430"," 40,227 "
11413,"13,650","934,909","20,830"," 44,883 "
11414,"6,570","810,182","12,720"," 63,694 "
11415,"5,030","558,050","9,480"," 58,866 "
11416,"9,690","380,321","11,740"," 32,395 "
11417,"10,540","574,890","14,400"," 39,923 "
11418,"12,720","662,242","16,990"," 38,978 "
11419,"16,990","730,117","22,960"," 31,800 "
11420,"15,690","832,745","21,780"," 38,234 "
11421,"14,410","740,488","19,920"," 37,173 "
11422,"10,520","725,787","15,860"," 45,762 "
11423,"10,020","650,266","14,870"," 43,730 "
11426,"5,840","523,875","9,180"," 57,067 "
11427,"7,300","621,771","11,490"," 54,114 "
11428,"6,620","425,926","9,880"," 43,110 "
11429,"8,380","516,711","12,740"," 40,558 "
11430,70,"8,461",170," 49,771 "
11432,"19,850","1,190,643","27,300"," 43,613 "
11433,"12,380","517,161","15,530"," 33,301 "
11434,"20,600","1,224,601","31,030"," 39,465 "
11435,"17,590","981,022","25,610"," 38,306 "
11436,"6,680","334,411","9,030"," 37,033 "
11501,"5,090","753,542","10,480"," 71,903 "
11507,"2,430","429,508","3,760"," 114,231 "
11509,620,"233,149","1,330"," 175,300 "
11510,"10,900","1,218,821","17,540"," 69,488 "
11514,"1,320","186,528","2,460"," 75,824 "
11516,"3,230","406,189","3,260"," 124,598 "
11518,"3,030","554,179","5,460"," 101,498 "
11520,"14,520","1,112,450","23,100"," 48,158 "
11530,"9,580","3,166,144","14,180"," 223,282 "
11542,"7,170","989,943","13,290"," 74,488 "
11545,"3,730","1,800,237","6,050"," 297,560 "
11548,410,"73,029",650," 112,352 "
11550,"20,270","1,067,478","28,050"," 38,056 "
11552,"8,660","904,620","12,610"," 71,738 "
11553,"9,710","569,501","14,050"," 40,534 "
11554,"10,940","1,452,791","19,530"," 74,388 "
11557,"2,590","705,826","4,040"," 174,709 "
11558,"2,070","276,854","3,980"," 69,561 "
11559,"3,400","1,184,601","3,780"," 313,387 "
11560,"2,000","1,003,623","3,400"," 295,183 "
11561,"7,710","1,652,240","18,770"," 88,026 "
11563,"6,440","904,856","11,420"," 79,234 "
11565,"2,500","443,493","4,730"," 93,762 "
11566,"11,430","1,995,196","18,060"," 110,476 "
11568,"1,050","904,579","1,700"," 532,105 "
11570,"8,850","1,892,114","14,130"," 133,908 "
11572,"9,340","1,342,180","15,680"," 85,598 "
11575,"6,430","328,132","8,820"," 37,203 "
11576,"3,980","1,572,886","6,250"," 251,662 "
11577,"4,160","1,005,118","5,860"," 171,522 "
11579,"1,480","341,034","2,600"," 131,167 "
11580,"14,050","1,307,837","21,210"," 61,661 "
11581,"7,410","861,272","10,670"," 80,719 "
11590,"15,640","1,567,949","25,050"," 62,593 "
11596,"3,490","574,519","5,360"," 107,186 "
11598,"5,570","967,432","5,850"," 165,373 "
11691,"20,980","811,125","21,710"," 37,362 "
11692,"6,870","284,299","8,090"," 35,142 "
