Zip,Count,AGI,TotInc
11572,"15,680"," 85,598 "," 86,952 "
11575,"8,820"," 37,203 "," 37,453 "
11576,"6,250"," 251,662 "," 257,950 "
11577,"5,860"," 171,522 "," 175,437 "
11579,"2,600"," 131,167 "," 133,767 "
11580,"21,210"," 61,661 "," 62,230 "
11581,"10,670"," 80,719 "," 81,904 "
11590,"25,050"," 62,593 "," 63,321 "
11596,"5,360"," 107,186 "," 108,984 "
11598,"5,850"," 165,373 "," 169,951 "
11691,"21,710"," 37,362 "," 37,844 "
11692,"8,090"," 35,142 "," 35,417 "
11693,"5,380"," 46,644 "," 47,034 "
11694,"8,290"," 90,330 "," 91,244 "
11697,"1,870"," 89,935 "," 90,766 "
11701,"14,610"," 51,978 "," 52,552 "
11702,"7,570"," 95,294 "," 96,530 "
11703,"9,080"," 61,782 "," 62,316 "
11704,"20,410"," 56,991 "," 57,453 "
11705,"3,960"," 97,117 "," 98,725 "
11706,"31,660"," 52,492 "," 53,009 "
11709,"3,460"," 93,486 "," 95,142 "
11710,"17,760"," 90,202 "," 91,577 "
11713,"5,260"," 62,423 "," 63,378 "
11714,"12,330"," 69,876 "," 70,561 "
11715,"2,360"," 86,896 "," 87,980 "
11716,"5,520"," 70,064 "," 70,913 "
11717,"31,740"," 34,171 "," 34,365 "
11718,"1,740"," 135,027 "," 137,138 "
11719,"1,610"," 85,173 "," 86,498 "
11720,"14,420"," 67,419 "," 68,058 "
11721,"3,230"," 139,668 "," 142,649 "
11722,"18,950"," 39,992 "," 40,218 "
11724,"1,710"," 281,313 "," 287,309 "
11725,"14,410"," 98,170 "," 99,815 "
11726,"10,790"," 44,570 "," 44,928 "
11727,"14,320"," 60,481 "," 60,992 "
11729,"14,550"," 58,614 "," 59,108 "
11730,"7,270"," 88,664 "," 89,690 "
11731,"14,910"," 89,123 "," 90,369 "
11732,"1,840"," 133,801 "," 136,511 "
11733,"8,610"," 214,606 "," 217,024 "
11735,"17,140"," 75,891 "," 76,773 "
11738,"8,290"," 63,408 "," 63,948 "
11740,"4,550"," 98,402 "," 100,027 "
11741,"14,180"," 72,539 "," 73,246 "
11742,"6,970"," 70,541 "," 71,237 "
11743,"21,860"," 147,660 "," 150,529 "
11746,"33,360"," 92,258 "," 94,044 "
11747,"10,530"," 214,556 "," 217,625 "
11749,"1,800"," 61,216 "," 61,997 "
11751,"7,710"," 77,569 "," 78,490 "
11752,"5,240"," 63,080 "," 63,661 "
11753,"6,440"," 207,064 "," 211,590 "
11754,"9,420"," 83,836 "," 84,802 "
11755,"6,110"," 82,026 "," 82,944 "
11756,"22,880"," 67,318 "," 67,868 "
11757,"23,370"," 57,744 "," 58,281 "
11758,"28,390"," 88,069 "," 89,137 "
11762,"11,590"," 90,317 "," 91,273 "
11763,"14,530"," 59,491 "," 60,001 "
11764,"6,290"," 99,623 "," 100,992 "
11765,330," 498,130 "," 504,076 "
11766,"6,170"," 107,474 "," 109,033 "
11767,"7,150"," 90,695 "," 91,869 "
11768,"10,870"," 133,355 "," 136,096 "
